Record,Date,LOC Time,Numero De Articulo, Estado Camara, Estampado Activado, Resultado Estampado, Control Activado, Resulado Control, Posicion Pieza, Pieza Controlada, Pieza en Chronos
         1,2024-08-28,10:36:42,    2429075,1,0,0,1,1,1,1,1
         2,2024-08-28,10:38:40,    2429075,1,0,0,1,1,1,1,1
         3,2024-08-28,10:39:16,    2429075,1,1,0,1,0,0,0,0
         4,2024-08-28,10:43:51,    2429075,1,0,0,1,1,1,1,1
         5,2024-08-28,10:58:57,    2429075,1,0,0,1,0,1,1,1
         6,2024-08-28,15:03:23,    2429075,1,0,0,1,0,0,0,0
         7,2024-08-28,15:07:45,    2429075,1,0,0,1,0,1,1,1
         8,2024-08-28,15:11:26,    2429075,1,0,0,1,0,1,1,1
         9,2024-08-28,15:16:55,    2429075,1,0,0,1,1,1,1,1
        10,2024-08-28,15:18:29,    2429075,1,0,0,1,1,1,1,1
        11,2024-08-28,15:20:04,    2429075,1,0,0,1,1,1,1,1
        12,2024-08-28,15:21:24,    2429075,1,0,0,1,1,1,1,1
        13,2024-08-28,15:24:11,    2429075,1,0,0,1,1,1,1,1
        14,2024-08-28,15:25:28,    2429075,1,0,0,1,1,1,1,1
        15,2024-08-28,15:33:49,    2429075,1,0,0,1,0,0,1,1
        16,2024-08-28,15:43:55,    2429075,1,0,0,1,1,1,1,1
        17,2024-08-28,16:09:41,    2429075,1,0,0,1,0,0,1,1
        18,2024-08-28,16:16:52,    2429075,1,0,0,1,1,1,1,1
        19,2024-08-28,16:51:12,    2429075,1,0,0,1,1,1,1,1
        20,2024-08-28,16:54:26,    2429075,1,0,0,1,0,0,1,1
        21,2024-08-28,16:55:26,    2429075,1,0,0,1,1,1,1,1
        22,2024-08-28,16:56:51,    2429075,1,0,0,1,1,1,1,1
        23,2024-08-28,18:34:09,    2429075,1,0,0,1,1,1,1,1
        24,2024-08-28,18:36:24,    2429075,1,0,0,1,0,1,1,1
        25,2024-08-28,18:38:34,    2429075,1,0,0,1,1,1,1,1
        26,2024-08-28,18:39:49,    2429075,1,0,0,1,0,0,1,1
        27,2024-08-28,18:41:40,    2429075,1,0,0,1,0,0,1,1
        28,2024-08-28,18:43:42,    2429075,1,0,0,1,1,1,1,1
        29,2024-08-28,18:46:54,    2429075,1,0,0,1,0,0,1,1
        30,2024-08-28,18:49:16,    2429075,1,0,0,1,0,0,1,1
        31,2024-08-28,18:50:27,    2429075,1,0,0,1,0,0,1,1
        32,2024-08-28,18:51:40,    2429075,1,0,0,1,0,0,1,1
        33,2024-08-28,19:00:43,    2429075,1,0,0,1,0,0,1,1
        34,2024-08-28,19:02:05,    2429075,1,0,0,1,1,1,1,1
        35,2024-08-28,19:06:53,    2429075,1,0,0,1,1,1,1,1
        36,2024-08-28,19:09:06,    2429075,1,0,0,1,0,0,1,1
        37,2024-08-28,19:09:57,    2429075,1,0,0,0,0,0,0,1
        38,2024-08-28,19:10:35,    2429075,1,0,0,0,0,0,0,1
        39,2024-08-28,19:11:42,    2429075,1,0,0,1,1,1,1,1
        40,2024-08-28,19:13:40,    2429075,1,0,0,0,0,0,0,1
        41,2024-08-28,19:14:38,    2429075,1,0,0,0,0,0,0,1
        42,2024-08-28,19:15:26,    2429075,1,0,0,0,0,0,0,1
        43,2024-08-28,19:16:15,    2429075,1,0,0,1,1,1,1,1
        44,2024-08-28,19:18:07,    2429075,1,0,0,1,1,1,1,1
        45,2024-08-28,19:31:03,    2429075,1,0,0,1,0,0,1,1
        46,2024-08-28,21:43:43,    2429075,1,0,0,1,0,0,1,1
        47,2024-08-28,21:45:05,    2429075,1,0,0,1,1,1,1,1
        48,2024-08-28,21:47:54,    2429075,1,0,0,1,0,0,1,1
        49,2024-08-28,21:49:23,    2429075,1,0,0,1,0,0,1,1
        50,2024-08-28,22:27:09,    2429075,1,0,0,0,0,0,0,1
        51,2024-08-28,22:27:47,    2429075,1,0,0,0,0,0,0,1
        52,2024-08-28,22:28:25,    2429075,1,0,0,0,0,0,0,1
        53,2024-08-28,22:29:00,    2429075,1,0,0,0,0,0,0,1
        54,2024-08-29,00:45:24,    2429075,1,0,0,0,0,0,0,1
        55,2024-08-29,00:49:24,    2429075,1,0,0,0,0,0,0,1
        56,2024-08-29,00:50:29,    2429075,1,0,0,0,0,0,0,1
        57,2024-08-29,00:51:10,    2429075,1,0,0,0,0,0,0,1
        58,2024-08-29,00:52:01,    2429075,1,0,0,0,0,0,0,1
        59,2024-08-29,00:52:51,    2429075,1,0,0,0,0,0,0,1
        60,2024-08-29,00:54:01,    2429075,1,0,0,0,0,0,0,1
        61,2024-08-29,00:54:52,    2429075,1,0,0,0,0,0,0,1
        62,2024-08-29,00:56:38,    2429075,1,0,0,0,0,0,0,1
        63,2024-08-29,00:57:18,    2429075,1,0,0,0,0,0,0,1
        64,2024-08-29,00:57:55,    2429075,1,0,0,0,0,0,0,1
        65,2024-08-29,01:00:54,    2429075,1,0,0,0,0,0,0,1
        66,2024-08-29,01:01:33,    2429075,1,0,0,0,0,0,0,1
        67,2024-08-29,01:15:38,    2429075,1,0,0,0,0,0,0,1
        68,2024-08-29,01:16:22,    2429075,1,0,0,0,0,0,0,1
        69,2024-08-29,01:37:44,    2429075,1,0,0,0,0,0,0,1
        70,2024-08-29,01:39:07,    2429075,1,0,0,0,0,0,0,1
        71,2024-08-29,01:39:51,    2429075,1,0,0,0,0,0,0,1
        72,2024-08-29,01:40:34,    2429075,1,0,0,0,0,0,0,1
