Record,Date,LOC Time,Articulo,Estado Camara,Comunicacion ChronosE,ResultadoE,Comunicacion ChronosC,ResultadoC,Pieza controlada
1, 8/23/2024,10:56:19,1948860,1,0,0,0,0,0
2, 8/23/2024,10:56:21,1948860,1,0,0,0,0,0
3, 8/23/2024,10:56:34,1948860,1,0,1,1,1,1
4, 8/23/2024,10:56:42,1948860,1,0,0,1,1,0
5, 8/23/2024,12:35:11,1948860,1,0,1,1,1,0
6, 8/23/2024,12:37:00,1948860,1,0,0,1,1,1
7, 8/23/2024,12:39:08,1948860,1,0,1,1,1,0
8, 8/23/2024,12:39:21,1948860,1,1,0,1,1,1
9, 8/23/2024,12:48:48,1948860,1,0,1,1,1,0
10, 8/23/2024,12:49:03,1948860,1,1,0,1,1,1
11, 8/23/2024,13:27:26,1948860,1,0,0,0,1,0
12, 8/23/2024,13:27:41,1948860,1,1,0,0,1,1
13, 8/23/2024,13:30:19,1948860,1,0,1,1,1,0
14, 8/23/2024,13:30:43,1948860,1,0,1,1,1,1
15, 8/23/2024,13:35:30,1948860,1,0,1,1,1,0
16, 8/23/2024,13:35:47,1948860,1,1,0,1,1,0
17, 8/23/2024,13:37:11,1948860,1,0,1,1,1,0
18, 8/23/2024,13:37:26,1948860,1,1,0,1,1,1
19, 8/23/2024,13:38:45,1948860,1,0,1,1,1,0
20, 8/23/2024,13:38:53,1948860,1,1,0,1,1,1
21, 8/23/2024,13:40:29,1948860,1,0,0,0,1,0
22, 8/23/2024,13:40:53,1948860,1,1,0,0,1,1
23, 8/23/2024,13:42:14,1948860,1,0,1,1,1,0
24, 8/23/2024,13:43:18,1948860,1,1,0,1,1,1
25, 8/23/2024,13:46:36,1948860,1,0,1,1,1,0
26, 8/23/2024,13:46:48,1948860,1,0,0,1,1,1
27, 8/23/2024,15:23:33,1948860,1,0,1,1,1,0
28, 8/23/2024,15:23:41,1948860,1,1,0,1,1,1
29, 8/23/2024,15:26:16,1948860,1,0,0,0,1,0
30, 8/23/2024,15:26:28,1948860,1,1,0,0,1,1
31, 8/23/2024,15:28:37,1948860,1,0,0,0,1,0
32, 8/23/2024,15:28:49,1948860,1,1,0,0,1,1
33, 8/23/2024,15:33:53,1948860,1,0,1,1,1,0
34, 8/23/2024,15:34:04,1948860,1,1,0,1,1,1
35, 8/23/2024,15:36:05,1948860,1,0,1,1,1,0
36, 8/23/2024,15:36:18,1948860,1,1,0,1,1,1
37, 8/23/2024,15:41:35,1948860,1,0,1,1,1,0
38, 8/23/2024,15:41:49,1948860,1,1,0,1,1,1
39, 8/23/2024,15:43:26,1948860,1,0,1,1,1,0
40, 8/23/2024,15:43:40,1948860,1,1,0,1,1,1
41, 8/23/2024,15:46:06,1948860,1,0,1,1,1,0
42, 8/23/2024,15:46:18,1948860,1,1,0,1,1,1
43, 8/23/2024,15:48:18,1948860,1,0,0,0,1,0
44, 8/23/2024,15:48:39,1948860,1,1,0,0,1,1
45, 8/23/2024,15:57:16,1948860,1,1,0,0,1,0
46, 8/23/2024,15:57:22,1948860,1,1,0,0,1,1
47, 8/23/2024,16:01:19,1948860,1,0,1,1,1,0
48, 8/23/2024,16:01:44,1948860,1,1,0,1,1,1
49, 8/23/2024,16:04:31,1948860,1,0,0,0,1,0
50, 8/23/2024,16:04:47,1948860,1,1,0,0,1,1
51, 8/23/2024,16:06:30,1948860,1,0,0,0,1,0
52, 8/23/2024,16:06:43,1948860,1,1,0,0,1,1
53, 8/23/2024,16:09:15,1948860,1,0,1,1,1,0
54, 8/23/2024,16:09:36,1948860,1,0,0,1,1,1
55, 8/23/2024,16:12:51,1948860,1,0,1,1,1,0
56, 8/23/2024,16:13:05,1948860,1,1,0,1,1,1
57, 8/23/2024,16:14:49,1948860,1,0,1,1,1,0
58, 8/23/2024,16:15:06,1948860,1,1,0,1,1,1
59, 8/23/2024,16:16:58,1948860,1,0,1,1,1,0
60, 8/23/2024,16:17:10,1948860,1,1,0,1,1,1
61, 8/23/2024,16:20:12,1948860,1,0,0,0,1,0
62, 8/23/2024,16:20:29,1948860,1,1,0,0,1,1
