Record,Date,LOC Time,Articulo,Estado Camara,Estado Estampado,Comunicacion Chronos,Resultado,Estado Controles
         7, 8/20/2024,12:33:37,          0,1,0,1,1,1
         8, 8/20/2024,12:33:51,          0,1,1,0,1,1
         9, 8/20/2024,12:35:56,          0,1,0,1,1,1
        10, 8/20/2024,12:36:11,          0,1,1,0,1,1
        11, 8/20/2024,12:39:07,          0,1,0,1,1,1
        12, 8/20/2024,12:39:28,          0,1,1,0,1,1
        13, 8/20/2024,12:41:24,          0,1,1,0,0,1
        14, 8/20/2024,12:41:42,          0,1,1,0,0,1
        15, 8/20/2024,12:44:13,          0,1,0,1,1,1
        16, 8/20/2024,12:44:28,          0,1,1,0,1,1
        17, 8/20/2024,12:46:37,          0,1,0,1,1,1
        18, 8/20/2024,12:46:53,          0,1,1,0,1,1
        19, 8/20/2024,12:48:42,          0,1,0,1,1,1
        20, 8/20/2024,12:48:56,          0,1,1,0,1,1
        21, 8/20/2024,12:51:42,          0,1,0,1,1,1
        22, 8/20/2024,12:51:54,          0,1,1,0,1,1
        23, 8/20/2024,12:54:02,          0,1,0,1,1,1
        24, 8/20/2024,12:54:15,          0,1,1,0,1,1
        25, 8/20/2024,12:56:07,          0,1,0,0,0,1
        26, 8/20/2024,12:56:21,          0,1,1,0,0,1
        27, 8/20/2024,12:58:07,          0,1,0,0,0,1
        28, 8/20/2024,12:58:19,          0,1,1,0,0,1
        29, 8/20/2024,12:59:54,          0,1,0,1,1,1
        30, 8/20/2024,13:00:09,          0,1,0,0,1,1
        31, 8/20/2024,13:02:07,          0,1,0,1,1,1
        32, 8/20/2024,13:02:42,          0,1,1,0,1,1
        33, 8/20/2024,13:28:16,          0,1,0,1,1,1
        34, 8/20/2024,13:28:25,          0,1,1,0,1,1
        35, 8/20/2024,13:29:42,          0,1,0,1,1,1
        36, 8/20/2024,13:29:59,          0,1,1,0,1,1
        37, 8/20/2024,13:32:05,          0,1,0,1,1,1
        38, 8/20/2024,13:32:19,          0,1,1,0,1,1
        39, 8/20/2024,13:37:28,          0,1,0,1,1,1
        40, 8/20/2024,13:37:47,          0,1,1,0,1,1
        41, 8/20/2024,13:39:45,          0,1,0,1,1,1
        42, 8/20/2024,13:39:58,          0,1,1,0,1,1
        43, 8/20/2024,13:42:00,          0,1,0,1,1,1
        44, 8/20/2024,13:42:12,          0,1,1,0,1,1
        45, 8/20/2024,13:48:53,          0,1,0,1,1,1
        46, 8/20/2024,13:49:05,          0,1,0,0,1,1
        47, 8/20/2024,13:51:06,          0,1,0,1,1,1
        48, 8/20/2024,13:51:12,          0,1,1,0,1,1
        49, 8/20/2024,13:52:55,          0,1,0,1,1,1
        50, 8/20/2024,13:53:09,          0,1,1,0,1,1
        51, 8/20/2024,13:57:55,          0,1,0,1,1,1
        52, 8/20/2024,13:58:06,          0,1,1,0,1,1
        53, 8/20/2024,14:00:03,          0,1,0,1,1,1
        54, 8/20/2024,14:00:20,          0,1,1,0,1,1
        55, 8/20/2024,14:02:10,          0,1,0,1,1,1
        56, 8/20/2024,14:02:26,          0,1,0,0,1,1
        57, 8/20/2024,14:27:53,          0,1,0,1,1,1
        58, 8/20/2024,14:28:15,          0,1,1,0,1,1
        59, 8/20/2024,14:30:23,          0,1,0,1,1,1
        60, 8/20/2024,14:30:31,          0,1,1,0,1,1
        61, 8/20/2024,14:32:19,          0,1,0,1,1,1
        62, 8/20/2024,14:35:29,          0,1,0,1,1,1
        63, 8/20/2024,14:35:50,          0,1,1,0,1,1
        64, 8/20/2024,15:53:29,          0,1,0,1,1,1
        65, 8/20/2024,15:53:39,          0,1,1,0,1,1
        66, 8/20/2024,15:58:35,          0,1,0,0,0,1
        67, 8/20/2024,15:58:49,          0,1,1,0,0,1
        68, 8/20/2024,16:08:38,          0,1,0,0,0,1
        69, 8/20/2024,16:08:51,          0,1,1,0,0,1
        70, 8/20/2024,16:12:13,          0,1,0,1,1,1
        71, 8/20/2024,16:12:25,          0,1,1,0,1,1
        72, 8/20/2024,16:15:21,          0,1,0,1,1,1
        73, 8/20/2024,16:15:29,          0,1,1,0,1,1
        74, 8/20/2024,16:28:34,          0,1,0,1,1,1
        75, 8/20/2024,16:29:21,          0,1,0,0,1,1
        76, 8/20/2024,16:31:59,          0,1,0,0,0,1
        77, 8/20/2024,16:32:12,          0,1,0,0,0,1
        78, 8/20/2024,16:35:27,          0,1,0,1,1,1
        79, 8/20/2024,16:35:51,          0,1,1,0,1,1
        80, 8/20/2024,16:40:21,          0,1,0,1,1,1
        81, 8/20/2024,16:40:33,          0,1,1,0,1,1
        82, 8/20/2024,16:43:51,          0,1,0,0,0,1
        83, 8/20/2024,16:43:59,          0,1,0,0,0,1
        84, 8/20/2024,16:57:36,          0,1,0,1,1,1
        85, 8/20/2024,16:57:48,          0,1,1,0,1,1
        86, 8/20/2024,17:01:33,          0,1,0,0,0,1
        87, 8/20/2024,17:01:45,          0,1,1,0,0,1
        88, 8/20/2024,17:04:48,          0,1,0,1,1,1
        89, 8/20/2024,17:04:59,          0,1,1,0,1,1
        90, 8/20/2024,17:08:22,          0,1,0,0,0,1
        91, 8/20/2024,17:08:32,          0,1,1,0,0,1
        92, 8/20/2024,17:14:41,          0,1,0,1,1,1
        93, 8/20/2024,17:14:52,          0,1,1,0,1,1
        94, 8/20/2024,17:20:06,          0,1,0,0,0,1
        95, 8/20/2024,17:20:13,          0,1,1,0,0,1
        96, 8/20/2024,17:23:50,          0,1,0,0,0,1
        97, 8/20/2024,17:24:02,          0,1,1,0,0,1
        98, 8/20/2024,17:38:54,          0,1,0,1,1,1
        99, 8/20/2024,17:39:07,          0,1,1,0,1,1
       100, 8/20/2024,17:42:33,          0,1,0,1,1,1
       101, 8/20/2024,17:42:45,          0,1,1,0,1,1
       102, 8/20/2024,17:45:31,          0,1,0,1,1,1
       103, 8/20/2024,17:45:42,          0,1,1,0,1,1
       104, 8/20/2024,17:48:23,          0,1,0,0,0,1
       105, 8/20/2024,17:48:31,          0,1,1,0,0,1
       106, 8/20/2024,17:53:28,          0,1,0,0,0,1
       107, 8/20/2024,17:53:42,          0,1,1,0,0,1
       108, 8/20/2024,17:56:34,          0,1,0,1,1,1
       109, 8/20/2024,17:56:46,          0,1,1,0,1,1
       110, 8/20/2024,18:26:33,          0,1,0,1,1,1
       111, 8/20/2024,18:26:45,          0,1,1,0,1,1
       112, 8/20/2024,18:29:46,          0,1,0,1,1,1
       113, 8/20/2024,18:30:00,          0,1,1,0,1,1
       114, 8/20/2024,18:33:24,          0,1,0,1,1,1
       115, 8/20/2024,18:33:38,          0,1,1,0,1,1
       116, 8/20/2024,18:36:47,          0,1,0,1,1,1
       117, 8/20/2024,18:37:07,          0,1,1,0,1,1
       118, 8/20/2024,18:40:35,          0,1,0,0,0,1
       119, 8/20/2024,18:40:48,          0,1,1,0,0,1
       120, 8/20/2024,18:44:47,          0,1,0,1,1,1
       121, 8/20/2024,18:45:02,          0,1,1,0,1,1
       122, 8/20/2024,18:47:42,          0,1,0,1,1,1
       123, 8/20/2024,18:47:55,          0,1,1,0,1,1
       124, 8/20/2024,18:50:58,          0,1,0,1,1,1
       125, 8/20/2024,18:51:13,          0,1,1,0,1,1
       126, 8/20/2024,18:54:27,          0,1,0,1,1,1
       127, 8/20/2024,18:54:40,          0,1,1,0,1,1
       128, 8/20/2024,19:00:52,          0,1,0,0,0,1
       129, 8/20/2024,19:03:44,          0,1,0,1,1,1
       130, 8/20/2024,19:03:57,          0,1,1,0,1,1
       131, 8/20/2024,21:01:30,          0,1,0,1,1,1
       132, 8/20/2024,21:01:45,          0,1,0,0,1,1
       133, 8/20/2024,21:04:49,          0,1,0,0,0,1
       134, 8/20/2024,21:04:57,          0,1,1,0,0,1
       135, 8/20/2024,21:08:06,          0,1,0,1,1,1
       136, 8/20/2024,21:08:21,          0,1,1,0,1,1
       137, 8/20/2024,21:11:18,          0,1,0,0,0,1
       138, 8/20/2024,21:11:32,          0,1,1,0,0,1
       139, 8/20/2024,21:15:26,          0,1,0,1,1,1
       140, 8/20/2024,21:15:38,          0,1,1,0,1,1
       141, 8/20/2024,21:18:34,          0,1,0,1,1,1
       142, 8/20/2024,21:18:47,          0,1,1,0,1,1
       143, 8/20/2024,21:21:33,          0,1,0,1,1,1
       144, 8/20/2024,21:21:49,          0,1,1,0,1,1
       145, 8/20/2024,21:33:46,          0,1,0,1,1,1
       146, 8/20/2024,21:33:59,          0,1,1,0,1,1
       147, 8/20/2024,21:42:59,          0,1,0,1,1,1
       148, 8/20/2024,21:43:08,          0,1,0,0,1,1
       149, 8/20/2024,21:46:14,          0,1,0,1,1,1
       150, 8/20/2024,21:49:13,          0,1,0,1,1,1
       151, 8/20/2024,21:49:25,          0,1,1,0,1,1
       152, 8/20/2024,21:51:39,          0,1,0,0,0,1
       153, 8/20/2024,21:51:54,          0,1,1,0,0,1
       154, 8/20/2024,21:54:32,          0,1,0,1,1,1
       155, 8/20/2024,21:54:42,          0,1,1,0,1,1
       156, 8/20/2024,21:57:18,          0,1,0,0,0,1
       157, 8/20/2024,21:57:29,          0,1,1,0,0,1
       158, 8/20/2024,22:05:01,          0,1,0,0,0,1
       159, 8/20/2024,22:05:12,          0,1,1,0,0,1
       160, 8/20/2024,22:07:58,          0,1,0,1,1,1
       161, 8/20/2024,22:08:11,          0,1,1,0,1,1
       162, 8/20/2024,23:13:36,          0,1,0,1,1,1
       163, 8/20/2024,23:13:46,          0,1,1,0,1,1
       164, 8/20/2024,23:16:25,          0,1,0,1,1,1
       165, 8/20/2024,23:16:35,          0,1,1,0,1,1
       166, 8/20/2024,23:19:05,          0,1,0,1,1,1
       167, 8/20/2024,23:19:16,          0,1,1,0,1,1
       168, 8/20/2024,23:21:10,          0,1,0,1,1,1
       169, 8/20/2024,23:21:23,          0,1,1,0,1,1
       170, 8/20/2024,23:24:08,          0,1,0,1,1,1
       171, 8/20/2024,23:24:17,          0,1,1,0,1,1
